state_name,county_fips,county_name,votes_gop_2020,votes_dem_2020,total_votes_2020,diff_2020,per_gop_2020,per_dem_2020,per_point_diff_2020,votes_gop_2024,votes_dem_2024,total_votes_2024,diff_2024,per_gop_2024,per_dem_2024,per_point_diff_2024,county_dem_total_2020,county_dem_total_2024,county_total_votes_2020,county_total_votes_2024,county_region,county_dem_percent_2020,county_dem_percent_2024,county_dem_share_2020,county_dem_share_2024,county_change_dem_percent,county_z_score,county_p_value_two_tailed,county_statistically_significant
New York,36067,Onondaga County,90619,138894,234735,-48275,0.3860480967899972,0.5917055402901144,-0.2056574435001171,93916,133155,227071,-39239.0,0.4135975091491207,0.5864024908508793,-0.1728049817017585,138894,133155,234735,227071,upstate,59.170554029011434,58.64024908508792,0.5917055402901144,0.5864024908508793,-0.530304943923511,3.661868570964111,0.00025038231098495345,yes
New York,36069,Ontario County,29039,29025,59674,14,0.4866273418909407,0.4863927338539397,0.000234608037001,30221,29520,59741,701.0,0.5058669925177014,0.4941330074822986,0.0117339850354027,29025,29520,59674,59741,upstate,48.63927338539397,49.41330074822986,0.4863927338539397,0.4941330074822986,0.7740273628358878,-2.6752724561765855,0.007466854102462506,yes
New York,36071,Orange County,84996,84684,172099,312,0.4938785234080384,0.4920656133969401,0.0018129100110982,94936,80253,175189,14683.0,0.5419061699079281,0.458093830092072,0.083812339815856,84684,80253,172099,175189,downstate,49.20656133969402,45.8093830092072,0.49206561339694016,0.458093830092072,-3.397178330486817,20.04438352550317,0.0,yes
New York,36073,Orleans County,12126,5587,18154,6539,0.6679519665087584,0.3077558664757078,0.3601961000330506,12659,5366,18025,7293.0,0.7023023578363384,0.2976976421636615,0.4046047156726768,5587,5366,18154,18025,upstate,30.775586647570783,29.769764216366156,0.30775586647570785,0.29769764216366157,-1.0058224312046278,2.0820092697262758,0.03734162302257338,yes
New York,36075,Oswego County,32138,21143,54491,10995,0.5897854691600448,0.3880090290139656,0.2017764401460792,33548,20483,54031,13065.0,0.6209028150506191,0.3790971849493809,0.2418056301012381,21143,20483,54491,54031,upstate,38.80090290139656,37.90971849493809,0.3880090290139656,0.37909718494938094,-0.8911844064584713,3.018755573905306,0.0025381521813963026,yes
New York,36077,Otsego County,14382,12975,28008,1407,0.5134961439588689,0.4632604970008569,0.0502356469580119,15256,13031,28287,2225.0,0.5393290203980627,0.4606709796019372,0.0786580407961254,12975,13031,28008,28287,upstate,46.32604970008569,46.06709796019373,0.4632604970008569,0.46067097960193726,-0.2589517398919625,0.6161819787430138,0.5377744210258575,no
New York,36079,Putnam County,29283,24953,54989,4330,0.5325246867555329,0.4537816654239939,0.0787430213315389,31553,23956,55509,7597.0,0.5684303446287989,0.431569655371201,0.1368606892575978,24953,23956,54989,55509,downstate,45.37816654239939,43.15696553712011,0.4537816654239939,0.43156965537120107,-2.2212010052792834,7.432564981208668,1.0658141036401503e-13,yes
New York,36081,Queens County,212665,569038,787860,-356373,0.2699273982687279,0.7222577615312366,-0.4523303632625086,264628,437282,701910,-172654.0,0.3770112977447251,0.6229887022552749,-0.2459774045105498,569038,437282,787860,701910,downstate,72.22577615312366,62.298870225527494,0.7222577615312366,0.6229887022552749,-9.926905927596167,129.1798943315724,0.0,yes
New York,36083,Rensselaer County,36500,40969,79409,-4469,0.4596456321071919,0.5159238877205354,-0.0562782556133435,38601,39668,78269,-1067.0,0.4931837636867725,0.5068162363132275,-0.0136324726264549,40969,39668,79409,78269,upstate,51.592388772053546,50.68162363132275,0.5159238877205354,0.5068162363132275,-0.9107651407307955,3.6173753137047866,0.0002976056158794371,yes
New York,36085,Richmond County,123320,90997,216153,32323,0.5705218063131208,0.4209842102584743,0.1495375960546464,128151,69345,197496,58806.0,0.6488789646372585,0.3511210353627415,0.2977579292745169,90997,69345,216153,197496,downstate,42.09842102584743,35.112103536274155,0.4209842102584743,0.35112103536274153,-6.986317489573274,46.065612419338315,0.0,yes
